Date,Open,High,Low,Close,Volume,Adj Close
2016-11-24,5.38,5.40,5.34,5.37,5601800,5.37
2016-11-23,5.45,5.45,5.39,5.41,2384400,5.41
2016-11-22,5.41,5.45,5.38,5.41,5635300,5.41
2016-11-21,5.40,5.41,5.35,5.35,2665600,5.35
2016-11-18,5.36,5.38,5.34,5.38,2144500,5.38
2016-11-17,5.29,5.35,5.28,5.34,2144100,5.34
2016-11-16,5.33,5.38,5.29,5.32,2866100,5.32
2016-11-15,5.27,5.32,5.26,5.29,2641900,5.29
2016-11-14,5.37,5.39,5.28,5.31,3431300,5.31
2016-11-11,5.34,5.42,5.34,5.37,4760400,5.37
2016-11-10,5.44,5.45,5.37,5.44,5660000,5.44
2016-11-09,5.45,5.45,5.25,5.34,5134500,5.34
2016-11-08,5.38,5.43,5.34,5.42,5783600,5.42
2016-11-07,5.26,5.38,5.26,5.34,3150800,5.34
2016-11-04,5.28,5.28,5.25,5.25,2923500,5.25
2016-11-03,5.25,5.29,5.25,5.27,3520300,5.27
2016-11-02,5.26,5.30,5.25,5.25,2862600,5.25
2016-11-01,5.30,5.33,5.27,5.30,2966300,5.30
2016-10-31,5.24,5.31,5.24,5.28,4497900,5.28
2016-10-28,5.27,5.31,5.26,5.29,2628900,5.29
2016-10-27,5.30,5.32,5.25,5.28,1872300,5.28
2016-10-26,5.30,5.31,5.25,5.27,2964300,5.27
2016-10-25,5.36,5.38,5.33,5.34,2487600,5.34
2016-10-24,5.32,5.38,5.31,5.38,3234900,5.38
2016-10-21,5.31,5.31,5.31,5.31,4449400,5.31
2016-10-20,5.45,5.46,5.42,5.44,2888500,5.44
2016-10-19,5.34,5.42,5.33,5.42,2589600,5.42
2016-10-18,5.32,5.38,5.29,5.35,4570500,5.35
2016-10-17,5.27,5.33,5.23,5.33,5237400,5.33
2016-10-14,5.28,5.31,5.26,5.29,7103800,5.29
2016-10-13,5.32,5.35,5.23,5.33,5782300,5.33
2016-10-12,5.35,5.38,5.35,5.35,3847400,5.35
2016-10-11,5.48,5.49,5.36,5.41,5816900,5.41
2016-10-10,5.45,5.47,5.40,5.45,1501100,5.45
2016-10-07,5.47,5.49,5.45,5.46,3340200,5.46
2016-10-06,5.41,5.50,5.41,5.45,8407000,5.45
2016-10-05,5.33,5.40,5.32,5.39,3256200,5.39
2016-10-04,5.28,5.33,5.28,5.31,2473500,5.31
2016-10-03,5.40,5.43,5.23,5.30,7001200,5.30
2016-09-30,5.34,5.42,5.34,5.39,7349800,5.39
2016-09-29,5.35,5.45,5.32,5.42,13753400,5.42
